pays,geo_code,annee,type_energie,siec_code,siec_label,valeur,unite,unite_label
Estonie,EE,2020,Pétrole brut,O4100_TOT,Crude oil,0.0,THS_T,Thousand tonnes
Estonie,EE,2020,Pétrole et produits pétroliers,O4000XBIO,Oil and petroleum products (excluding biofuel portion),2188.439,THS_T,Thousand tonnes
Estonie,EE,2021,Combustibles fossiles solides (charbon),C0000X0350-0370,Solid fossil fuels,5.3,THS_T,Thousand tonnes
Estonie,EE,2021,Gaz naturel,G3000,Natural gas,19453.87,TJ_GCV,Terajoule (gross calorific value - GCV)
Estonie,EE,2021,Pétrole brut,O4100_TOT,Crude oil,0.0,THS_T,Thousand tonnes
Estonie,EE,2021,Pétrole et produits pétroliers,O4000XBIO,Oil and petroleum products (excluding biofuel portion),2012.038,THS_T,Thousand tonnes
Estonie,EE,2022,Combustibles fossiles solides (charbon),C0000X0350-0370,Solid fossil fuels,3.0,THS_T,Thousand tonnes
Estonie,EE,2022,Gaz naturel,G3000,Natural gas,16193.1,TJ_GCV,Terajoule (gross calorific value - GCV)
Estonie,EE,2022,Pétrole brut,O4100_TOT,Crude oil,0.0,THS_T,Thousand tonnes
Estonie,EE,2022,Pétrole et produits pétroliers,O4000XBIO,Oil and petroleum products (excluding biofuel portion),1677.666,THS_T,Thousand tonnes
Estonie,EE,2023,Combustibles fossiles solides (charbon),C0000X0350-0370,Solid fossil fuels,5.08,THS_T,Thousand tonnes
Estonie,EE,2023,Gaz naturel,G3000,Natural gas,12518.7,TJ_GCV,Terajoule (gross calorific value - GCV)
Estonie,EE,2023,Pétrole brut,O4100_TOT,Crude oil,0.0,THS_T,Thousand tonnes
Estonie,EE,2023,Pétrole et produits pétroliers,O4000XBIO,Oil and petroleum products (excluding biofuel portion),1386.084,THS_T,Thousand tonnes
Finlande,FI,2019,Combustibles fossiles solides (charbon),C0000X0350-0370,Solid fossil fuels,3478.0,THS_T,Thousand tonnes
Finlande,FI,2019,Gaz naturel,G3000,Natural gas,99553.0,TJ_GCV,Terajoule (gross calorific value - GCV)
Finlande,FI,2019,Pétrole brut,O4100_TOT,Crude oil,11901.0,THS_T,Thousand tonnes
Finlande,FI,2019,Pétrole et produits pétroliers,O4000XBIO,Oil and petroleum products (excluding biofuel portion),17695.0,THS_T,Thousand tonnes
Finlande,FI,2020,Combustibles fossiles solides (charbon),C0000X0350-0370,Solid fossil fuels,2733.0,THS_T,Thousand tonnes
Finlande,FI,2020,Gaz naturel,G3000,Natural gas,98580.0,TJ_GCV,Terajoule (gross calorific value - GCV)
Finlande,FI,2020,Pétrole brut,O4100_TOT,Crude oil,10717.0,THS_T,Thousand tonnes
Finlande,FI,2020,Pétrole et produits pétroliers,O4000XBIO,Oil and petroleum products (excluding biofuel portion),16819.0,THS_T,Thousand tonnes
Finlande,FI,2021,Combustibles fossiles solides (charbon),C0000X0350-0370,Solid fossil fuels,2353.0,THS_T,Thousand tonnes
Finlande,FI,2021,Gaz naturel,G3000,Natural gas,98444.0,TJ_GCV,Terajoule (gross calorific value - GCV)
Finlande,FI,2021,Pétrole brut,O4100_TOT,Crude oil,7820.0,THS_T,Thousand tonnes
Finlande,FI,2021,Pétrole et produits pétroliers,O4000XBIO,Oil and petroleum products (excluding biofuel portion),13484.0,THS_T,Thousand tonnes
Finlande,FI,2022,Combustibles fossiles solides (charbon),C0000X0350-0370,Solid fossil fuels,4319.0,THS_T,Thousand tonnes
Finlande,FI,2022,Gaz naturel,G3000,Natural gas,52921.0,TJ_GCV,Terajoule (gross calorific value - GCV)
Finlande,FI,2022,Pétrole brut,O4100_TOT,Crude oil,9130.0,THS_T,Thousand tonnes
Finlande,FI,2022,Pétrole et produits pétroliers,O4000XBIO,Oil and petroleum products (excluding biofuel portion),15861.0,THS_T,Thousand tonnes
Finlande,FI,2023,Combustibles fossiles solides (charbon),C0000X0350-0370,Solid fossil fuels,1887.0,THS_T,Thousand tonnes
Finlande,FI,2023,Gaz naturel,G3000,Natural gas,68610.0,TJ_GCV,Terajoule (gross calorific value - GCV)
Finlande,FI,2023,Pétrole brut,O4100_TOT,Crude oil,9478.0,THS_T,Thousand tonnes
Finlande,FI,2023,Pétrole et produits pétroliers,O4000XBIO,Oil and petroleum products (excluding biofuel portion),14697.0,THS_T,Thousand tonnes
France,FR,2019,Combustibles fossiles solides (charbon),C0000X0350-0370,Solid fossil fuels,10984.974,THS_T,Thousand tonnes
France,FR,2019,Gaz naturel,G3000,Natural gas,2200075.392,TJ_GCV,Terajoule (gross calorific value - GCV)
France,FR,2019,Pétrole brut,O4100_TOT,Crude oil,48335.0,THS_T,Thousand tonnes
France,FR,2019,Pétrole et produits pétroliers,O4000XBIO,Oil and petroleum products (excluding biofuel portion),93585.013,THS_T,Thousand tonnes
France,FR,2020,Combustibles fossiles solides (charbon),C0000X0350-0370,Solid fossil fuels,7703.911,THS_T,Thousand tonnes
France,FR,2020,Gaz naturel,G3000,Natural gas,1873094.214,TJ_GCV,Terajoule (gross calorific value - GCV)
France,FR,2020,Pétrole brut,O4100_TOT,Crude oil,33121.0,THS_T,Thousand tonnes
France,FR,2020,Pétrole et produits pétroliers,O4000XBIO,Oil and petroleum products (excluding biofuel portion),76093.76,THS_T,Thousand tonnes
France,FR,2021,Combustibles fossiles solides (charbon),C0000X0350-0370,Solid fossil fuels,9371.871,THS_T,Thousand tonnes
France,FR,2021,Gaz naturel,G3000,Natural gas,1876948.944,TJ_GCV,Terajoule (gross calorific value - GCV)
France,FR,2021,Pétrole brut,O4100_TOT,Crude oil,33831.879,THS_T,Thousand tonnes
France,FR,2021,Pétrole et produits pétroliers,O4000XBIO,Oil and petroleum products (excluding biofuel portion),78983.808,THS_T,Thousand tonnes
France,FR,2022,Combustibles fossiles solides (charbon),C0000X0350-0370,Solid fossil fuels,9126.354,THS_T,Thousand tonnes
France,FR,2022,Gaz naturel,G3000,Natural gas,2299704.749,TJ_GCV,Terajoule (gross calorific value - GCV)
France,FR,2022,Pétrole brut,O4100_TOT,Crude oil,41016.0,THS_T,Thousand tonnes
France,FR,2022,Pétrole et produits pétroliers,O4000XBIO,Oil and petroleum products (excluding biofuel portion),81715.219,THS_T,Thousand tonnes
France,FR,2023,Combustibles fossiles solides (charbon),C0000X0350-0370,Solid fossil fuels,6720.779,THS_T,Thousand tonnes
France,FR,2023,Gaz naturel,G3000,Natural gas,1914950.902,TJ_GCV,Terajoule (gross calorific value - GCV)
France,FR,2023,Pétrole brut,O4100_TOT,Crude oil,45506.0,THS_T,Thousand tonnes
France,FR,2023,Pétrole et produits pétroliers,O4000XBIO,Oil and petroleum products (excluding biofuel portion),82800.021,THS_T,Thousand tonnes
Grèce,EL,2019,Combustibles fossiles solides (charbon),C0000X0350-0370,Solid fossil fuels,326.51,THS_T,Thousand tonnes
